program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count
101370270,2024,32,9.3,5,9,19
102790287,2024,1,2.0,0,1,1
101290082,2024,32,10.0,3,6,18
109490337,2024,32,8.8,2,9,20
109590048,2024,31,9.0,3,6,21
107990171,2024,32,8.0,6,10,22
108911647,2024,32,7.3,2,8,26
104710336,2024,31,9.5,1,7,22
300290442,2024,1,3.0,0,1,1
300211622,2024,5,6.2,1,1,4
101890037,2024,31,8.0,3,10,20
100890057,2024,32,7.8,7,11,23
112190221,2024,32,8.5,3,6,22
104390077,2024,32,4.5,8,20,28
111570357,2024,40,7.8,9,14,28
111091394,2024,32,6.5,4,14,26
107710442,2024,40,6.8,9,17,31
104790017,2024,32,8.4,4,11,22
101890037,2023,41,5.9,5,20,35
107710442,2023,40,5.6,6,19,34
111091394,2023,42,5.3,9,19,37
100890057,2023,64,7.1,9,25,49
103730146,2023,42,6.1,9,22,33
104710336,2023,31,8.2,2,7,24
112190221,2023,32,6.5,6,14,25
109490337,2023,27,4.2,9,15,24
104790017,2023,42,6.9,7,17,30
104390077,2023,42,5.8,7,18,34
107330202,2023,70,7.0,9,23,53
101370270,2023,41,7.2,4,16,29
107310473,2023,42,6.4,10,17,35
108911647,2023,53,7.2,11,21,40
300290443,2023,2,2.5,0,2,2
102790287,2023,0,,0,0,0
101290082,2023,42,8.9,9,14,27
109590048,2023,54,8.9,11,18,32
107310446,2023,83,6.3,25,38,66
111570357,2023,40,8.6,7,10,26
108990307,2023,62,7.3,14,20,46
300290442,2023,1,2.0,0,1,1
101490475,2023,54,8.4,9,16,38
300211622,2023,8,5.8,2,5,7
102710387,2023,64,6.6,13,22,51
107990171,2023,54,6.0,7,22,44
107310473,2022,31,9.3,1,9,19
107710442,2022,52,11.2,6,13,24
107310446,2022,82,9.8,8,22,44
102790287,2022,1,3.0,0,1,1
101370270,2022,41,8.1,5,13,27
300290443,2022,0,,0,0,0
101290082,2022,41,8.5,6,12,27
107910379,2022,52,8.6,4,13,36
108911647,2022,52,9.5,5,7,28
109490337,2022,21,7.5,1,4,19
104710336,2022,21,11.3,3,5,8
109590048,2022,52,7.8,11,17,36
107330202,2022,62,7.0,4,23,49
102710387,2022,62,9.1,6,16,39
101490475,2022,41,8.8,4,9,25
104790017,2022,31,7.9,1,8,21
111091394,2022,41,9.7,4,10,25
108990307,2022,62,10.1,5,13,34
104390077,2022,41,8.2,6,9,28
100890057,2022,62,8.0,2,17,42
101890037,2022,41,8.1,0,13,31
300211622,2022,5,14.6,0,0,1
300290442,2022,1,19.0,0,0,0
108911647,2021,16,8.8,2,3,10
300211622,2021,0,,0,0,0
109590048,2021,11,4.4,4,8,9
104390077,2021,27,7.0,6,12,20
111091394,2021,41,6.2,15,19,31
101370270,2021,7,9.1,1,3,4
104790017,2021,6,7.8,1,3,3
109490337,2021,2,6.5,0,0,2
102710387,2021,62,8.7,15,20,41
300290443,2021,0,,0,0,0
107710442,2021,52,7.4,11,23,39
102790287,2021,0,,0,0,0
107910379,2021,31,5.6,3,15,27
100890057,2021,25,5.4,6,12,22
107330202,2021,0,,0,0,0
107310446,2021,60,6.3,13,25,47
108990307,2021,62,6.7,10,28,45
107310473,2021,4,3.5,0,3,4
300290442,2021,0,,0,0,0
101890037,2021,1,6.0,0,0,1
101290082,2021,2,7.5,1,1,1
101490475,2021,16,5.5,3,6,14
104710336,2021,1,2.0,0,1,1
102710387,2020,62,10.3,9,11,37
104790017,2020,62,9.9,2,10,38
108911647,2020,62,8.9,6,13,44
111091394,2020,41,8.2,8,13,28
300211622,2020,2,8.5,0,0,2
108990307,2020,52,12.9,3,6,20
104710336,2020,62,9.7,4,9,41
100890058,2020,41,8.6,1,5,29
101370270,2020,41,10.6,3,10,20
107310446,2020,82,10.2,6,21,47
104390077,2020,41,10.0,2,5,25
109590048,2020,62,8.7,7,15,41
101290082,2020,41,9.4,0,6,26
107910379,2020,52,9.4,3,14,30
107710442,2020,62,8.7,11,20,39
100890057,2020,62,8.4,5,14,47
101890037,2020,41,10.3,4,6,24
107330202,2020,72,8.0,4,22,49
107310473,2020,62,9.4,3,11,36
104710336,2019,62,8.4,1,7,43
100890058,2019,41,7.2,3,14,32
107330202,2019,72,7.8,2,21,52
101890037,2019,41,8.7,0,6,28
108990307,2019,52,10.3,4,10,28
107310446,2019,82,9.6,5,20,49
102710387,2019,62,11.7,8,16,28
104790017,2019,62,9.8,6,13,40
107910379,2019,52,8.4,4,14,35
107710442,2019,62,7.8,9,19,44
108911647,2019,62,7.3,6,26,45
107310473,2019,62,8.7,2,13,44
100890057,2019,62,9.2,9,21,41
104390077,2019,41,9.3,2,8,31
300211622,2019,0,,0,0,0
110390237,2024,32,4.2,17,24,27
110390237,2023,32,3.6,22,22,29
110390237,2022,31,4.2,23,25,27
110390244,2024,32,2.8,9,25,31
110390244,2023,32,3.4,4,25,30
110390244,2022,31,4.2,7,24,27
200351709,2023,8,3.5,5,5,7
204190553,2023,24,5.0,8,15,20
105290034,2023,84,8.4,15,26,57
103350775,2023,84,5.7,21,40,67
200651848,2023,2,7.5,0,1,1
101290073,2023,42,12.1,4,6,23
202550703,2023,58,4.1,17,36,53
201650017,2023,45,5.1,7,26,39
201150067,2023,6,2.0,3,5,6
209210138,2023,37,3.5,10,26,36
101290070,2023,59,11.6,4,8,28
201790263,2023,8,7.4,1,3,6
106051352,2023,131,7.1,29,54,97
203590177,2023,7,2.9,2,5,7
110670119,2023,64,4.9,19,35,56
103550967,2023,84,2.8,46,62,81
300350331,2023,15,4.3,4,8,14
300150518,2023,10,3.6,4,7,9
102890079,2023,84,7.8,15,27,57
101690103,2023,64,6.8,7,22,50
